Site,Instrument,Latitude,Longitude
Avery Picnic,ASFS,38.9726247,-106.9971697
Kettle Ponds,ARL SEB solar,38.942089072,-106.973550206
Kettle Ponds,ARL SEB tower,38.942117374,-106.973451975
Kettle Ponds,GML table,38.941855855,-106.973087209
Kettle Ponds,GML ceilometer,38.941848792,-106.972957826
Kettle Ponds,GML tower,38.941722366,-106.973096981
Kettle Ponds,PSL SLR,38.941977449,-106.972999104
Kettle Ponds,power drop,38.941703842,-106.973380122
Kettle Ponds Annex,ASFS,38.939392294,-106.969857303
Brush Creek,ARL SEB solar,38.859610971,-106.920538197
Brush Creek,ARL SEB tower,38.859523191,-106.920478591
Brush Creek,GML tracker,38.859074366,-106.920903644
Brush Creek,GML table,38.859127744,-106.920904658
Brush Creek,GML tower,38.859386047,-106.920922277
Brush Creek,PSL SLR,38.8588513,-106.9210944
