,Full Period,Water Year 2022,Water Year 2023,Warm Season 2022,Cold Season 2022,Warm Season 2023,Cold Season 2023
sail_ld_uncorrected,777.4,441.9,338.4,-26.9,433.5,,397.9
sail_ld_holyroyd,329.7,214.9,117.7,-59.4,240.1,,202.1
sail_ld_brandes,171.6,140.7,33.8,-64.4,173.1,,121.2
sail_ld_heymsfield,-398.4,-126.7,-268.7,-82.8,-68.6,,-169.9
sail_pluvio,-161.4,-18.5,-139.7,-8.9,-14.6,,-81.3
sail_tbg,-439.1,-140.0,-297.1,10.2,-153.3,,-236.1
sail_org,826.4,563.2,267.2,140.0,472.7,,191.9
sail_squire_snow_m2009_1,-582.9,-135.7,-447.2,,,,
sail_squire_snow_m2009_2,-699.4,-213.1,-486.3,,,,
sail_squire_snow_ws88diw,-229.8,10.3,-240.0,,,,
sail_squire_snow_ws2012,-539.6,-153.6,-386.0,,,,
ERA5-Land,254.7,164.4,98.3,111.4,21.0,99.0,-0.7
PRISM,159.1,92.7,74.5,29.6,49.1,52.6,19.8
