,Full Period,Water Year 2022,Water Year 2023,Jun - Sep 2022,Snow Season 2022,Snow Season 2023,Dec - Mar 2022,Dec - Mar 2023
sail_ld_unadjusted,0.419,0.449,0.394,-0.299,0.611,0.432,0.631,0.374
sail_ld_holyroyd,0.217,0.247,0.192,-0.299,0.385,0.232,0.454,0.19
sail_ld_brandes,0.132,0.169,0.1,-0.299,0.294,0.137,0.36,0.094
sail_ld_heymsfield,-0.251,-0.181,-0.322,-0.299,-0.147,-0.308,-0.103,-0.357
sail_pluvio,-0.075,-0.024,-0.123,-0.017,-0.024,-0.128,-0.033,-0.146
sail_tbg,-0.332,-0.251,-0.409,-0.024,-0.356,-0.446,-0.468,-0.475
sail_org,0.378,0.457,0.303,-0.053,0.584,0.245,0.398,0.152
sail_pwd,0.197,0.226,0.177,0.151,0.24,0.195,0.277,0.159
sail_squire_m2009_1,,,,,,,-0.517,-1.394
sail_squire_m2009_2,,,,,,,-0.865,-1.58
sail_squire_ws88diw,,,,,,,-0.06,-0.687
sail_squire_ws2012,,,,,,,-0.598,-1.152
ERA5-Land,0.146,0.146,0.146,0.416,0.076,-0.002,0.064,-0.145
PRISM,0.094,0.094,0.094,0.137,0.104,0.019,0.132,0.028
