,Full Period,Water Year 2022,Water Year 2023,Jun - Sep 2022,Snow Season 2022,Snow Season 2023,Dec - Mar 2022,Dec - Mar 2023
sail_ld_unadjusted,1.921,1.651,2.31,0.563,2.336,2.635,3.045,3.149
sail_ld_holyroyd,1.543,1.296,1.898,0.563,1.765,2.162,2.487,2.742
sail_ld_brandes,1.405,1.169,1.745,0.563,1.557,1.973,2.155,2.521
sail_ld_heymsfield,1.2,0.988,1.507,0.563,1.27,1.656,1.613,2.309
sail_pluvio,0.644,0.537,0.802,0.374,0.658,0.858,0.909,1.188
sail_tbg,1.484,1.354,1.663,0.525,1.921,1.82,2.066,2.562
sail_org,2.332,1.993,2.802,0.689,2.821,2.864,2.71,3.658
sail_pwd,1.343,1.125,1.648,0.623,1.445,1.852,1.941,2.325
sail_squire_m2009_1,,,,,,,1.948,3.935
sail_squire_m2009_2,,,,,,,2.214,4.195
sail_squire_ws88diw,,,,,,,2.173,2.943
sail_squire_ws2012,,,,,,,1.999,3.606
ERA5-Land,2.088,2.088,2.088,1.609,2.32,2.757,2.543,3.508
PRISM,0.875,0.875,0.875,0.395,1.02,1.233,1.28,1.743
