,Full Period,Water Year 2022,Water Year 2023,Jun - Sep 2022,Snow Season 2022,Snow Season 2023,Dec - Mar 2022,Dec - Mar 2023
sail_ld_unadjusted,0.529,0.578,0.491,-0.26,0.88,0.551,0.922,0.461
sail_ld_holyroyd,0.243,0.281,0.212,-0.26,0.477,0.262,0.588,0.21
sail_ld_brandes,0.142,0.184,0.106,-0.26,0.344,0.147,0.439,0.099
sail_ld_heymsfield,-0.223,-0.166,-0.277,-0.26,-0.137,-0.267,-0.098,-0.303
sail_pluvio,-0.073,-0.024,-0.116,-0.017,-0.024,-0.12,-0.032,-0.136
sail_tbg,-0.285,-0.223,-0.339,-0.024,-0.302,-0.365,-0.379,-0.384
sail_org,0.466,0.593,0.357,-0.051,0.825,0.279,0.497,0.165
sail_pwd,0.218,0.255,0.194,0.163,0.273,0.216,0.322,0.173
sail_squire_m2009_1,,,,,,,-0.411,-0.822
sail_squire_m2009_2,,,,,,,-0.604,-0.883
sail_squire_ws88diw,,,,,,,-0.058,-0.512
sail_squire_ws2012,,,,,,,-0.46,-0.731
ERA5-Land,0.158,0.158,0.158,0.525,0.079,-0.002,0.066,-0.135
PRISM,0.098,0.098,0.098,0.147,0.109,0.019,0.142,0.029
