,Full Period,Water Year 2022,Water Year 2023,Warm Season 2022,Cold Season 2022,Warm Season 2023,Cold Season 2023
sail_ld_uncorrected,148.10000000000002,157.8,140.1,90.7,187.9,,159.5
sail_ld_holyroyd,120.39999999999999,128.1,113.99999999999999,79.5,148.70000000000002,,130.20000000000002
sail_ld_brandes,110.60000000000001,118.39999999999999,104.0,77.7,135.1,,118.10000000000001
sail_ld_heymsfield,75.3,83.39999999999999,68.10000000000001,71.39999999999999,86.1,,74.6
sail_pluvio,90.0,97.6,83.39999999999999,96.89999999999999,97.0,,87.8
sail_tbg,72.8,81.69999999999999,64.8,103.49999999999999,68.89999999999999,,64.7
sail_org,151.2,173.70000000000002,131.7,148.4,195.9,,128.7
sail_squire_snow_m2009_1,38.2,63.7,21.5,,,,
sail_squire_snow_m2009_2,25.8,43.0,14.6,,,,
sail_squire_snow_ws88diw,75.6,102.69999999999999,57.8,,,,
sail_squire_snow_ws2012,42.8,58.9,32.2,,,,
ERA5-Land,115.8,121.50000000000001,111.7,138.5,104.3,188.6,99.9
PRISM,109.80000000000001,112.1,108.80000000000001,110.2,109.89999999999999,147.0,103.0
