,Full Period,Water Year 2022,Water Year 2023,Warm Season 2022,Cold Season 2022,Warm Season 2023,Cold Season 2023
sail_ld_uncorrected,38.800000000000004,44.9,33.4,-9.8,61.1,,45.800000000000004
sail_ld_holyroyd,18.5,24.7,13.100000000000001,-22.900000000000002,39.2,,26.200000000000003
sail_ld_brandes,10.100000000000001,16.900000000000002,3.9,-25.1,29.9,,16.6
sail_ld_heymsfield,-28.1,-18.099999999999998,-37.9,-33.4,-15.0,,-29.099999999999998
sail_pluvio,-10.5,-2.4,-18.099999999999998,-3.1,-3.0,,-12.9
sail_tbg,-31.5,-20.200000000000003,-42.8,3.5000000000000004,-36.8,,-42.9
sail_org,40.699999999999996,53.900000000000006,27.400000000000002,39.0,64.8,,25.1
sail_squire_snow_m2009_1,-89.5,-44.4,-129.29999999999998,,,,
sail_squire_snow_m2009_2,-117.9,-79.7,-149.10000000000002,,,,
sail_squire_snow_ws88diw,-27.700000000000003,2.7,-53.400000000000006,,,,
sail_squire_snow_ws2012,-80.2,-51.800000000000004,-102.60000000000001,,,,
ERA5-Land,14.6,19.400000000000002,11.0,32.300000000000004,4.2,61.4,-0.1
PRISM,9.4,11.4,8.5,9.700000000000001,9.5,38.1,2.9000000000000004
