,Full Period,Water Year 2022,Water Year 2023,Jun - Sep 2022,Snow Season 2022,Snow Season 2023,Dec - Mar 2022,Dec - Mar 2023
sail_ld_unadjusted,3.056,2.556,3.777,1.07,1.996,4.093,2.187,2.89
sail_ld_holyroyd,2.236,1.835,2.822,1.07,1.418,3.057,1.599,2.115
sail_ld_brandes,1.992,1.601,2.567,1.07,1.227,2.771,1.38,1.949
sail_ld_heymsfield,1.7,1.204,2.42,1.07,0.903,2.572,0.992,2.069
sail_pluvio,0.873,0.557,1.31,0.753,0.383,1.412,0.418,1.195
sail_tbg,1.871,1.429,2.511,1.044,1.104,2.664,1.254,2.209
sail_org,5.357,3.916,7.474,1.313,3.096,7.411,2.475,6.018
sail_pwd,1.872,1.531,2.358,1.02,1.17,2.571,1.29,1.982
sail_squire_m2009_1,,,,,,,1.2,3.416
sail_squire_m2009_2,,,,,,,1.41,3.581
sail_squire_ws88diw,,,,,,,1.121,2.803
sail_squire_ws2012,,,,,,,1.313,3.242
ERA5-Land,3.377,3.377,3.377,3.219,1.818,4.667,1.925,3.705
PRISM,3.122,3.122,3.122,3.141,1.595,4.461,1.753,3.597
