,Full Period,Water Year 2022,Water Year 2023,Warm Season 2022,Cold Season 2022,Warm Season 2023,Cold Season 2023
splash_lpdf,-135.5,-38.3,-94.8,-38.5,30.3,,-28.6
splash_ld_uncorrected,270.3,152.2,124.7,-45.2,200.2,,153.1
sos_swe_p1,,,-145.1,,,,-145.1
sos_swe_p2,,,-209.2,,,,-209.2
sos_swe_p3,,,-220.2,,,,-220.2
sos_swe_p4,,,-163.7,,,,-163.7
sail_squire_snow_ws88diw,-418.1,-81.8,-336.3,,-81.8,,-336.3
sail_squire_snow_m2009_1,-705.6,-200.5,-505.1,,-200.5,,-505.1
sail_squire_snow_m2009_2,-788.5,-257.1,-531.4,,-257.1,,-531.4
sail_squire_snow_ws2012,-660.3,-205.8,-454.5,,-205.8,,-454.5
ERA5-Land,238.4,164.4,82.1,111.4,21.0,99.0,-17.0
PRISM,-109.6,-21.8,-79.7,29.8,-55.2,42.4,-127.0
