,Full Period,Water Year 2022,Water Year 2023,Jun - Sep 2022,Snow Season 2022,Snow Season 2023,Dec - Mar 2022,Dec - Mar 2023
splash_pluvio,-0.06,-0.051,-0.065,-0.077,0.052,-0.041,0.004,-0.113
splash_ld_unadjusted,0.175,0.182,0.175,-0.283,0.335,0.202,0.367,0.132
splash_ld_holyroyd,-0.087,-0.059,-0.11,-0.286,0.032,-0.11,-0.015,-0.19
splash_ld_brandes,-0.117,-0.086,-0.143,-0.286,-0.004,-0.145,-0.056,-0.229
splash_ld_heymsfield,-0.556,-0.475,-0.638,-0.286,-0.542,-0.671,-0.623,-0.778
sos_SWE_p1,,,,,,,,-0.255
sos_SWE_p2,,,,,,,,-0.408
sos_SWE_p3,,,,,,,,-0.436
sos_SWE_p4,,,,,,,,-0.297
sail_squire_m2009_1,,,,,,,-0.799,-1.584
sail_squire_m2009_2,,,,,,,-1.107,-1.719
sail_squire_ws88diw,,,,,,,-0.323,-0.919
sail_squire_ws2012,,,,,,,-0.828,-1.36
ERA5-Land,0.146,0.146,0.146,0.416,0.076,-0.002,0.064,-0.145
PRISM,-0.06,-0.06,-0.06,0.137,-0.1,-0.181,-0.066,-0.216
