,Full Period,Water Year 2022,Water Year 2023,Jun - Sep 2022,Snow Season 2022,Snow Season 2023,Dec - Mar 2022,Dec - Mar 2023
splash_pluvio,-0.058,-0.05,-0.063,-0.074,0.054,-0.04,0.004,-0.107
splash_ld_unadjusted,0.192,0.2,0.192,-0.248,0.403,0.224,0.449,0.141
splash_ld_holyroyd,-0.083,-0.057,-0.105,-0.25,0.032,-0.104,-0.014,-0.174
splash_ld_brandes,-0.111,-0.083,-0.134,-0.25,-0.004,-0.135,-0.055,-0.206
splash_ld_heymsfield,-0.435,-0.384,-0.484,-0.25,-0.427,-0.502,-0.475,-0.56
sos_SWE_p1,,,,,,,,-0.228
sos_SWE_p2,,,,,,,,-0.339
sos_SWE_p3,,,,,,,,-0.358
sos_SWE_p4,,,,,,,,-0.259
sail_squire_m2009_1,,,,,,,-0.571,-0.884
sail_squire_m2009_2,,,,,,,-0.713,-0.924
sail_squire_ws88diw,,,,,,,-0.278,-0.629
sail_squire_ws2012,,,,,,,-0.586,-0.81
ERA5-Land,0.158,0.158,0.158,0.523,0.081,-0.002,0.066,-0.135
PRISM,-0.058,-0.058,-0.058,0.147,-0.095,-0.166,-0.064,-0.197
