,Full Period,Water Year 2022,Water Year 2023,Warm Season 2022,Cold Season 2022,Warm Season 2023,Cold Season 2023
splash_pluvio,93.2,95.0,91.8,86.7,106.2,,95.8
splash_ld_uncorrected,118.0,120.0,116.8,84.39999999999999,140.6,,122.30000000000001
splash_ld_holyroyd,90.7,94.3,87.7,86.2,100.2,,88.8
splash_ld_brandes,88.0,91.7,84.89999999999999,85.8,96.5,,85.6
splash_ld_heymsfield,55.900000000000006,61.6,50.6,75.3,54.6,,48.5
precip_type,648.8000000000001,599.4,700.6,278.3,753.2,,756.4
sos_swe_p1,,,0.0,,,,0.0
sos_swe_p2,,,338.4,,,,338.4
sos_swe_p3,,,0.0,,,,0.0
sos_swe_p4,,,0.0,,,,0.0
sail_squire_m2009_1,26.400000000000002,46.300000000000004,13.8,,46.300000000000004,,13.8
sail_squire_m2009_2,17.8,31.2,9.3,,31.2,,9.3
sail_squire_ws88diw,56.39999999999999,78.10000000000001,42.6,,78.10000000000001,,42.6
sail_squire_ws2012,31.2,44.9,22.400000000000002,,44.9,,22.400000000000002
ERA5-Land,109.60000000000001,121.50000000000001,99.4,138.5,104.3,188.6,97.5
PRISM,89.7,97.2,83.6,110.3,88.8,137.9,81.5
