,Full Period,Water Year 2022,Water Year 2023,Jun - Sep 2022,Snow Season 2022,Snow Season 2023,Dec - Mar 2022,Dec - Mar 2023
splash_pluvio,1.456,1.101,1.964,1.031,1.073,2.271,0.94,1.135
splash_ld_unadjusted,2.84,2.11,3.882,1.195,2.42,4.57,2.356,3.145
splash_ld_holyroyd,1.517,1.11,2.093,1.197,1.16,2.432,1.045,1.671
splash_ld_brandes,1.517,1.102,2.105,1.197,1.15,2.446,1.036,1.693
splash_ld_heymsfield,1.888,1.403,2.579,1.197,1.538,3.015,1.462,2.195
sos_SWE_p1,,,,,,,,2.776
sos_SWE_p2,,,,,,,,1.989
sos_SWE_p3,,,,,,,,1.959
sos_SWE_p4,,,,,,,,2.284
sail_squire_m2009_1,,,,,,,1.782,2.866
sail_squire_m2009_2,,,,,,,1.982,2.967
sail_squire_ws88diw,,,,,,,1.605,2.432
sail_squire_ws2012,,,,,,,1.872,2.744
ERA5-Land,2.45,2.45,2.45,1.856,2.112,3.103,1.883,2.108
PRISM,1.418,1.418,1.418,0.897,1.254,1.807,1.162,1.304
